Nr;Name;GI;PERIOD;VALUE;TY;ASDU;IOA;IV;NT;SB;BL;OV;CA;CY;SQNR;SE;QU;PC;DT;TY103;ASDU103;FUN;INF;SUB;SIN;RET;FAN;RII;IV103;OV103;ASC;FREE;PC103;DT103;STATION;FUNCTION;ADDRESS;QUANTITY
0;Резерв;True;True;1;30;1;71;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;72;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;73;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;74;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;75;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;76;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;77;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;78;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;79;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
0;Резерв;True;True;1;30;1;80;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:24;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:24;1;1;0;1
